Image,Label
9064,1 6
25838,0
12021,3
11770,4
2132,4 6
7670,4 9
20734,1
10565,6
10084,3
16299,2
11283,4
10171,0
18623,3 4 7
1518,6
2747,3
17422,6
7423,4 7
12974,7
4840,0
30478,4
9388,4
20791,4 6
27595,1 4
4185,1 4
24846,1 6
24664,4
24931,0 6
18980,4 7
23008,4
14567,7
22735,3 4
4890,0
3342,3
18620,1 2 6
14426,7
3199,6 7
23051,2
11989,0
26605,0
3381,3 4
16072,2 6
17385,4 6
19266,1
25143,0 4 6
25053,0
19572,7
8033,4 7
5636,1 6
14600,4 6
7173,4 6
25680,0
8141,3 4
18529,4
23070,2 6
7555,4 6
22945,4
30952,5 6
30401,0
10509,1 4
29525,5
17812,4 8
15815,4
4498,4 7
10986,2 4
26608,4
27532,2 7
21664,4
20030,0
18132,3 4
25176,4 8
28510,6
8668,2 4
18209,2
6388,4
14749,7
4565,1 4
29220,0
17320,3 4
5794,7 9
6758,6
432,3
9408,4 6
10379,1
19708,2 6
3683,4
16246,2 4 6
5851,6
11413,0 4
4925,6 7
29441,5
18543,0
3626,7
11117,6 9
22599,3 4
3592,4 6
28628,4
278,4
28787,4 6
24187,1 6
29771,5
29355,6
27574,3 4
24894,4
13372,4
2565,2
1040,4
1027,2 4
26415,3
22305,3
20814,9
13505,4 6
19138,3
6744,1
22333,2 6
23097,5
21721,7
6346,2 7
1640,0
18918,7
19838,0
11814,3 4
22069,0 4
11592,9
14106,8
19001,4
11911,0 4
6316,2 4 6
23648,2 4
17777,0
15041,4
15671,4 7
13,9
14668,9
14155,1 4
9213,4
19606,9
10341,4 7
9732,1
2051,0 2 4
9647,4
25990,1
22714,2 9
12326,4 6
29045,4
2673,8
27050,9
27828,6
20394,6
958,3 4
25111,4 6
4736,4
19490,1
10461,4
25532,6 9
24329,3
5552,6 7 9
5875,3 4
23233,9
17578,9
138,7
29,3 4 6
19919,4 6
5212,4 6
212,0
7491,0 4 7
21441,7 9
7915,4 7
2640,2 4
4892,0
12184,6
29348,2 6
10708,4 6
4702,4 6
29199,4 7
29330,6 7
7710,6
22269,7
19676,1
16088,9
23948,2 3 4
1413,0
22828,1
30918,6
13223,4
15315,7
15987,4
8679,1
19755,1 6
7472,2 4
12868,2
25453,7
24915,4 6
23523,4 6
616,2
21289,1 4
7033,6 9
16417,0
17685,4 6
3334,9
4791,6
6327,4 5
6280,2 4
433,8
4575,4 6
15243,4 8
24507,5
6491,4
16075,6
24755,4
6328,1 4
5263,8
15838,1 4
25597,7
6809,6
5698,4 6
21487,3 6
17999,2 4
28631,2
6024,4
4410,4 6
14834,4
1118,6
10852,4
5483,4 7
6095,1
13824,4
10560,6
27171,6
18313,4 5
4651,3 6
3871,3
8352,4 8
27253,0
10849,0
14912,4
16559,4 6
16985,0
21929,7
22869,4
27015,4
19569,7
21475,8
14623,5
27833,7
22498,5
1885,1 4
18853,1 8
3491,4
28533,4
16650,4 7
11577,4
10808,5
28607,0 4 6
28156,0
9862,0 4
5861,1 4
26288,4 5
696,6 7
13581,4
21784,4 6
8051,4 7
19365,0
20691,2 4
506,4 7
8161,6
13773,4 6
5677,4
12468,3 4
20351,1 6
13009,4 6
10393,0 5
8819,6 7
30720,0
8556,6
21521,2 4
11121,2 4
17107,6
4085,1 4
21767,4 7
25164,6 9
3326,4
24265,4
4012,6
2408,4
5146,4
13385,3 4
28718,3 4 6 7
13863,3
26566,1
11360,0
11815,4
10847,3 4
26516,4 6
3693,8
7373,0 4
7965,0
7717,6
15238,2 4 6
9702,4
29100,2 4
1288,2 7
6396,3 6
18075,4
13061,7
30758,2
26270,4
5047,6 7
28548,5 6
10972,4
19470,1
11396,4 7
18197,7
24967,3 4
14157,4
16824,0 4
13263,6
12236,2
15164,4
12754,3
3633,3 4
3991,0
14009,6 9
28310,2 4
12528,6 9
9047,7
13823,5
7250,2 4 6
25455,4
28375,0
15828,5
22230,2
6342,4 6
13121,4 6
11336,3
13282,8
26240,9
10012,0 1 6
1948,6 7
982,4
21123,4
7021,4 8
4389,6
19656,0 3
5522,6 7 9
14246,4
14268,4 7
14762,1 4
26002,1 4
26120,2 4
26184,4
28726,0 4
1235,4
9157,9
22478,4 6
11938,3 4
1226,4 7
14613,4
12104,7
26091,4
27728,4 7
13713,4
10027,6
158,2 6
29520,8
26670,4
17220,5
2165,1 4
24256,1 4
16319,3
5431,9
23262,1
1496,4 6
3181,0
26607,1
28394,2 4
25170,1
22846,8
2536,9
26374,7
24871,7
26946,6 8
11735,6
22128,2 4
15360,0 8
3545,1 6
14389,4
23574,2
22624,0
1832,6 7
18719,4 6
24197,1
486,6
12592,4
1609,0
16192,0
22586,1
3136,4 9
9785,7
28563,1 4
26727,6
29398,6
15936,2
18999,9
5363,4
26335,4 6
3116,0 9
9652,2 4
18622,7
17392,4
1968,3 4
19254,2 4
30126,4
10265,4
24735,0
25135,6
29522,4 6
6121,4 7
22348,7
26786,2 3
190,3 4
17736,2 4
2168,5
16491,4
24803,0 2
19472,4 6
14915,4 7
7990,0 7
8971,4
10812,4 6
10973,2
28853,4 6
24008,4 7
28020,3 4 6
17477,3
4231,4 6
16240,3
16219,1 4
30024,1
17204,3
14289,6
24527,9
1114,6
21895,4
4393,4 7
14264,4
5564,0
19949,2 3
28059,2 4
20831,1 4 6
23378,3 4
15929,7
22641,4 5
7557,4 6
11897,0 1
7645,0
25310,5
10077,4
21054,4
21758,0 6
17235,4 5
16633,6
29478,1
27523,1 6
23076,4
30971,1
24188,4
29472,3 6
10008,4 9
27722,3 4 6
29833,2
17288,2 4
18892,9
17397,3 6
14720,5 6
17237,5
16920,7 9
15043,4 6
21632,4 7
14191,4 5
13523,9
18542,3
14276,0
21333,0
8916,0 4
19958,8
28528,4 7
746,7
8876,1 6
21555,4 6
10607,0
10670,6
6141,2 3
21896,6
3305,0 4
30598,9
5122,3
18006,4 7
10702,4 6
2860,7 9
20356,4 8
21717,1
4663,2
83,6 9
11789,7 9
20137,6
11202,4 6
973,2 6
8027,4
8281,6 7
28778,1 3
14897,9
12752,1
7383,4 7
13882,6 7
12252,4 5
7533,9
5556,1 6
26878,4
9154,7
18106,0 1
536,0
22221,2
28505,6
15648,4 6
23195,4 6
1430,7
23379,0 4
30960,7
18551,4 6
28134,1
19173,6 7
22645,8
11265,4 7
4775,4 6
18447,3
28260,4
7243,6
24376,2 6
25786,0
9814,6 8
6661,2 4
18533,0 4
25260,7
11688,5
22006,1
12501,2 4
17334,1
17956,2
8614,3
26992,4
10140,6
29423,9
21136,3
4788,2
7840,5
6494,4
8123,6
14603,2
22295,7
24449,4
10634,1 4
20827,4
8899,4 6
496,3
841,0
4532,2
20381,0 4
29053,2 6
5587,4 6 8
24064,2
28280,4
26587,6
28979,7 9
16822,6
7755,4 8
11004,3 6 9
22480,9
23038,5
12107,6
29071,2 3 6
6771,1
14813,9
28666,0
8410,6 7
30576,0
10953,6
29850,1
28450,4 6
22652,4
4141,0 1 4
6046,4 6
5241,0 2 4
19902,1
4731,0
19537,4 6
16146,4
18762,2 4
3000,7
9736,4 8
493,7
1332,3
8661,1 4
13840,4 6
7824,4 6
12301,2 6
30105,6 8
19299,0
28327,6
15571,9
29027,2 4
18453,7 9
1783,1 2 4
19553,3 6
7377,4
8977,4
28725,4
21240,4
5259,7
6321,3
687,4 8
30729,3 4 6
15984,9
18179,6
10395,0
897,0 4 6
16492,0
7888,0
29855,4
4359,3
2359,6
8995,4
12055,7
24905,0
8873,4 6
4046,1 6
6722,2
29829,4 6
1513,2 4
20124,4 7
2890,5
23924,3
27301,4 7
14282,1 4
14330,4
17875,6
13177,4
19038,0
5330,9
18355,4 6
24767,6
24361,6
15654,6
20837,3
20085,4
27133,4
25166,4
30856,2 4
21772,4
18753,6
21787,0 4 6
23606,6
358,6
13540,5 6
26968,4 6 7
29007,0 9
22158,3
1469,4 6
20913,1
9993,0
25701,0
30250,4 6
23172,1
7276,4 6 8
10673,4 6
20267,2 4
14724,2 4
28565,0 2
15187,8
17619,0 8
14378,8
6463,9
27318,0 2
2502,1
12897,4 6 7
13059,2 4
13266,4 7
6040,8
30500,1
17188,3 4
14695,3
25050,3 4
3369,8
1479,2
1689,3
3356,4
18047,2 4
11898,4 6
18648,5
2634,3
15651,4 6
28077,6 9
28238,2 4
8414,2
6566,2 4
17816,7
13367,1 6
28980,4 7
26719,2 3
13356,1 4
12095,4 7
2030,0 4
11491,0 4
25201,4 6
3157,4 6
30806,2 6
23372,0 4
20602,9
14302,4
4352,3 4
2852,1 6
22360,4 6 8
18726,4
16793,1
5095,6 7
17168,4 5
5856,3 4
13032,2
20892,4 6
23191,1 4 6
29421,4 7
18226,4 6
22867,1 4 6
727,2 6
7609,4 7
21924,6
24742,6
25220,4
25403,6
3800,6
14206,1 4
15968,0 4
30020,6
12659,8
23846,3 6
1146,4 6
16040,3
15148,4 6
18127,7
30086,5
595,2 4
22138,2 4
11802,6
7394,0
26943,6
27191,4
11711,4
29444,4
22439,4
13590,6
9467,0
13265,0
18986,1 6
28248,8
8345,0 4
23627,0
19102,8
25210,2 7
23940,1 6
24728,4 8
16990,6
18512,4 5
5129,5
4738,8
12008,6
6831,0
3931,8
28110,1 6
16251,5
8046,5
28079,4 6
21706,0
30965,0
21278,0
4870,1 4 6
26035,4
26062,2
22104,6
3186,4 6
25022,4
22389,2 6
23329,0
29847,4
17362,2 8
2970,4
25928,4 5
30417,6 8
7709,2 4 6
25300,1
15425,6
1680,6
4963,4 8
26338,6
2726,9
20162,4
3559,0
28901,1 4 6
30711,4 8
1507,6
17987,4
18102,3 4
7780,4 6
28592,6 7
25621,4
6905,2 4
28332,0 4
29575,3
7367,4
1889,4 6
16796,4
11087,0
10669,4 6
21919,1 4
28313,4 6 8
14730,0 4
17718,4 6 7
2205,4
22871,4 7
23306,4
19325,6 7
379,4 7
13927,3
30667,2 6
15770,4
18547,3 4
2080,4
8405,6
6475,4
19675,3
26984,1 6
24195,4
1738,4 7
2139,3
17653,9
12092,4 5
27044,1
18741,2 4 6
2388,2 4
23040,2 3 4 6
19634,0
1222,4 5
11314,5
10629,4
12922,4 6
9031,4 6
6044,0
21145,4
23853,0 4
21459,7
22201,4
29011,2
9366,0 4
7235,9
1906,4 6
15044,4
2537,0
20479,3
10404,4
16702,4 8
28258,4
29831,2 4
14111,4
24881,2 6
12749,4 6
4806,9
26015,0
18840,0
23271,1
20547,1
9824,4 7
7019,4 5
24240,1 6
8025,1
18845,6 9
30813,1
22088,4
27141,6
10804,9
1271,8
30427,3 4 7
28805,1
13628,4 6
6725,1
15805,2 3
6157,4 8
22301,4 5
28300,4 6
5036,7
16865,6
4294,4 6
24590,4
14701,2 6
18032,4
4512,7
20506,6
22357,4
30996,4
24179,0 2
2176,4
26787,6
8115,1 3
11527,1 4
28464,2 4 6
10614,3
24474,2 6
14831,8
10225,6
16595,0
30101,4
10072,1 6
9995,4 8
20651,0 7
26158,4 8
20020,6
1996,9
6697,4
19024,4 7
28907,6
7112,0
22578,4
5181,7
16331,4 6 7
18044,4
325,7
23735,7
21506,6
19019,4
21444,0 4
145,1
16820,4
25385,1
5474,1 3
29653,4
6212,6 7
21848,3 4
17313,6
5555,4 6
15686,4 6
7932,2
14244,0 1
19085,5 6
26128,2 3
21608,4 8
27610,9
13391,4
14757,3
30418,2 4
24526,5
1937,0
27463,0
7066,6 7
28652,9
21914,1 6
29597,2 4
7719,2 4
30819,3
28811,2 4
7794,4 6
24021,7
17101,4 7
21017,4 6
22149,4 6
22005,6
22695,6
772,0
2639,3 6
613,4 6
12348,1 4
9451,4 6
30387,4
17773,7
23121,4
30505,4 7
2935,6
18049,4
19509,0 4
29737,4
12663,6
5754,2 4
30091,0
1017,7
3104,2
15845,4 7
17904,4 6 8
24302,3
24159,4 8
12144,2
20041,3
10982,2 4
8917,4 6
2529,0 2
6594,0
11633,4 6
3928,6
6181,4
18644,3
17552,6
21043,4
25915,0
22359,3
7008,1
15960,4
11921,2 4 6
25888,2
12775,4 8
30123,4 6
8314,4
22793,4
5447,2
24855,3
29433,2
4682,9
12094,1
8401,4
20210,8
28333,2 4
12635,0
751,4
20307,4 6
20598,3 4 7
20019,4 7
14594,0
19924,4 7
19045,4 7
20778,4
27735,3 4
11371,1
4823,6 7
17546,4
11612,2
18838,4 6
11873,3
17391,4 7
14012,3 4
22477,5 6 7
21890,4
29909,0
20486,2 4
19943,2 6
23956,1 4
9839,9
12393,4 8
2731,8
827,6 7
14718,1
13298,4 7
24565,0 5
4474,4
17603,3 4
26262,4
10119,3 8
18688,1
24944,4
17019,4
3720,0
3169,1 6 8
13319,4
8490,0
92,2 4
26928,0
13459,4 5
20713,2 4
28359,0 4
12963,4
29705,2 3 4
15237,3
19812,4
13658,4
13432,0
5803,4 6
30481,6
28458,2 4
26604,6
26621,1 4
11766,2 4
7814,4 6
24909,4 8
18317,4 7
29625,5
17529,4
27210,3
8005,7
17782,2 4
13292,4 5
15550,1 4
15544,6
23102,1 4
17876,6
15308,0 4
29972,4
3295,4
28557,4 7
19941,1
21846,5 7
27561,4
20655,0 2
22609,2 4
15355,4 6
2407,8
8856,3
14266,6
4554,4 6
25598,4 7
30129,4
23792,1
1674,3
3505,2
6065,3 4 6
22445,0 4 6
15362,8
24372,4 6
11165,6
28107,1
5035,4 6
5718,2
19228,3 4
5824,1 4
22720,4
5168,0 4
16308,4
27984,9
29573,4 6
17795,4
26384,3 6 7
24625,4 6
30831,4 6
9321,5
8391,1
2428,4
21613,1 3
8267,4
30330,4 6
9265,4 6
27916,4 6
19559,0 2 6
2427,4
27966,4 7
15794,2 4
5432,1
26875,7
23605,2 6
23775,3
5662,4 6 7
21694,1 4 6
22650,4 6
2466,6 7
19225,9
17380,1 4
826,7
21200,6
23440,9
23616,6
2764,4 6
14631,4
13468,9
28882,4
25276,6 7
23112,4
20287,6 7
16745,0
5909,4 8
28457,6
30604,4
5596,6
18051,0 4
24043,0 4
13099,5
26741,8
18584,0 4
24815,0
14097,2 4
22363,1
25322,3 6
30208,6 7
10933,3 6
26174,6
2645,6
15436,0 4
14165,4 7
21313,1 6
123,4
15375,4 6
2474,0 9
19398,4 5
21586,0
10886,4 8
356,0
12686,4 5
19587,3 4 6
766,4 7
19512,1 4
25957,4
22974,2
17749,4
22121,6
16979,2 6
10728,6
1137,0
11462,4
30166,1 6
14283,3 4
3757,3 4
10987,7
17470,4 6
28771,6 7
21485,4 8
19309,2 4 6
30603,3 4
16623,6
2188,4
6690,4
1565,4 8
1931,0
14918,0 6
22629,6
20327,4
19406,4 6
6089,4 6
27930,1 6
9649,2
272,2 4 6
3467,5 6
12574,4 8
11609,4 6
1406,1
20269,3
22632,3 4 7
23466,1 4 6
11951,4
9878,4 6
28171,7
11501,4
14337,2 4
6985,6
20587,7
30627,4 8
3682,2
30807,6
14072,0
21307,2
30986,4 6
18251,1
5676,4 5
18755,1
17495,2
29468,6 7
8642,4
9585,2
8351,4
30381,7
8320,6 7
25884,1 4
27201,5 6
7151,1 4
62,4 5
1421,6
3187,7
8728,0
30961,4 5 6
3660,7
5561,6 7
21365,2 4
9260,4 6
24260,6
3006,3 4
27504,1 4
29358,7
3141,3 4 6
30883,9
15629,6 7
8179,2 4
29542,4 6
17105,4 6 8
8968,4
4549,7
16394,4 7
12510,2 4
22875,7
15801,6
20669,0 4
2089,4
17788,4 6
1123,2
11629,3
5954,0
2941,1 4 7
7218,4
7666,4
12719,6 7
437,0
14976,9
7885,4 6
28981,4 6
